页码,评论id,评论发布时间,评论点赞数,评论发布ip,评论,评论用户名
9,7311449129267381026,1702329436,7,广东,这首歌的词确实绝,敏~敏
9,7310979092379583242,1702219974,1,湖北,我的小瓜眼泪在打转了[可怜],♌村里有个姑娘叫大芳
9,7309705360989045545,1701923407,50,上海,这个词绝了[泣不成声][泣不成声][泣不成声]眼泪掉下来,莉子
9,7320254217427501843,1704384590,7,湖南,倘若那天，把该说的话好好说，该体谅的不执着。,空山
9,7309504991708988170,1701876756,9,山东,认真崽崽,奶思de中年叛逆期（见过佩云姐）
10,7320262767503475491,1704395078,0,浙江,前奏就沦陷了,马飞
10,7320244689642013491,1704383933,73,湖北,如果学生时代有喜欢的人又错过，这首歌就,晨曦飞
10,7320316403802178341,1704394021,29,山西,还有谁说要看我露脑门,m`丅..
10,7324704096186975017,1705420547,1,陕西,什么情况，呜呜啦啦的，这是嘴被捂住唱的吗 [捂脸],圣࿆熙࿆罗࿆
10,7320551718587499314,1704452949,14,江苏,其实那个时候正好跑男很火，JJ又正好在上面宣传了，歌又好听，所以就这样了,德雨🔥🔥
10,7320234420027671307,1704379693,30,广东,这首歌真的超绝！曲好词更好 而且我超喜欢它的MV 杨颖颜值第一次惊艳到我了，真就我梦里的音乐老师应该长的样子，剧情也好，完全可以拍成电影了 [流泪],别叫我毕加索
10,7322736134634570537,1704960534,0,安徽,可惜没有如果，HH,一个智慧的仙儿
10,7324273521948099363,1705318735,1,湖南,交换余生和浪漫血液,半岛铁门
10,7328377747766903564,1706273568,0,湖北,虽然很戳人，但是我还是觉得《不为谁而作的歌》才是最好的一首歌。因为爱情真的太小了,Yang🍃
10,7322687483496547112,1704951028,0,广东,他不是被封了吗  怎么还能波,啊威十八式
10,7320408347063845659,1704415393,26,江西,倘若那天，把该说的话好好说……字字戳心,你好托雷斯丶
10,7328229245577954085,1706236339,0,浙江,@HvemiL₉ @小静静吖（重拾_快乐版） @可君. @ᝰꫛꫀꪝ晴天,陪你走
10,7328336460317852450,1706265544,0,湖南,@晨医讯,k…
10,7327628030640964393,1706096355,0,江苏,@ᝰꫛꫀꪝ晴天 @小静静吖（重拾_快乐版） @可君. @陪你走,HvemiL₉
10,7322693417909584640,1704954726,0,广东,@C forever @晚。 @梦梦梦梦风 @春风得意,树木
10,7327223533837615899,1706006364,0,安徽,@有点is哦 @🌈只是当时已惘然 @资产过亿不声张先生 @宿命让我遇见你 @ℳ左肩๓ @撕夜、 @北遇and @Yae Miko @🌈🌈一休是光头,梓川枫
10,7328257298470830848,1706247165,1,广东,@琳夕,KeLin
10,7320549771936006952,1704452704,2,吉林,@辣椒烤翅 @ʚ ɞ @一颗糖。,:Q~.
10,7326352303786378035,1705799328,1,辽宁,@早尘,零度
10,7320615177380233995,1704469581,0,新疆,@平安顺遂 八方来财💰,jie.（见过林俊杰版）
11,7320609780317733670,1704468909,0,甘肃,@Hhh＿w @楊木昜,liar
11,7322725424307536667,1704954880,1,广西,@CRJ……🤔,陈欲睡
11,7320421742248854313,1704423617,1,湖北,@omio,榇椁
11,7320547572414038793,1704453036,0,山东,@高冷破忒头,六花楹
11,7320551089789698816,1704451784,0,广东,@渣男下学别跑,佳人们谁懂啊
11,7320433135236498195,1704424197,0,江苏,@站住·劫糖糖,逸
11,7320593465318146856,1704463272,1,广西,@AAA 广州香食肠粉莫哥（好评返现）,💥品 味
11,7320540678714327823,1704451698,1,安徽,@୧⍢⃝୨,浩浩牛逼
11,7320541632075842358,1704450555,1,湖南,@nk,/369/
11,7320438567887602444,1704425855,1,山西,@伍秉鉴 @20# @J.Z.C @Rainbow～🌈 @Penguice.,（*_*）
11,7320254012735980303,1704383187,1,江西,@大宝贝儿,小🍔🍔
11,7320249760904020776,1704386139,0,广东,@💙是TiTi,noah
11,7320573488002728767,1704457571,0,宁夏,@愿鲁且愚,艾伦耶格尔
11,7320260859807400739,1704386430,0,陕西,@精英上班族派大星,羊肉泡馍🐼🌈🌈
11,7326016551676609332,1705726999,0,江苏,@卡卡罗特,Dubloadz
11,7320268492703433522,1704415803,0,广东,@秋枫🍁 @,用户258853994
11,7320437699654173479,1704422226,0,广东,@旧. @错,hpx
11,7328744490595255051,1706358972,0,江西,@cherry🥰,哦耶亮仔
11,7323048862305747753,1705034918,0,福建,@smoker.,smoker.
11,7328333938988270346,1706265550,0,湖南,@wslw,k…
12,7328336599036429095,1706265541,0,湖南,@冰冷周少,k…
12,7320563992086414080,1704451631,0,河北,@啐,安乱码儿
12,7320556914323424035,1704453624,0,浙江,@Wi-Fi baby💛,深情的冰美式
12,7320571091851428608,1704457437,0,浙江,@先看看你自己👾,一只小栖崽子
12,7320622964028916507,1704469552,0,广西,@麦香菇,搁浅秀夫
12,7320619700029817634,1704464600,0,浙江,@King,PAS7
12,7320409727144559386,1704421272,0,河南,@哇达西蛙℡,李文豪
12,7320620118886990592,1704464698,0,浙江,@张小末,Youandmeeeee
12,7321411587948200740,1704675103,0,四川,@Kim金金金,木偶.
12,7320311434645750565,1704416846,0,四川,@菜瘦子  ☀️,菲儿~
12,7322745862441124623,1704963352,0,山东,@代贯俊,久睡成瘾~#
12,7323101358662517558,1705045363,0,广东,@我要胖10斤 @小羊失眠,🌈看见曙光
12,7320279873321255732,1704397169,0,上海,@❌❌,越前牛马
12,7320615177379447563,1704467955,0,广东,@盡快入夢.,塞莉西亚
12,7320620635032666892,1704467793,0,安徽,@探索世界的小孟💤,一杯热拿铁
12,7320581235197559603,1704461985,0,安徽,@丨XXX丨,两只胳膊
12,7320589891203859200,1704458329,0,山东,@@星       星,别抢我的五杀
12,7320527397740479269,1704450985,0,江西,@切利妮娜 @……,小余吃大鱼
12,7322707529963340595,1704955864,0,吉林,@1239,pppp.
12,7323269020022391592,1705081458,0,辽宁,@早尘,零度
13,7320420418165867300,1704423303,0,黑龙江,@In乐 听听。,蛋黄小狗烧仙草
13,7323561348142121728,1705153458,0,河南,@>…<,Sarff
13,7328351606503359232,1706269421,0,中国香港,@周周：,WaterS
13,7323887554514879269,1705230014,0,湖南,@噼里啪啦噼里啪啦啦啦啦啦啦,11ist
13,7320312839964672809,1704393185,0,广东,@TIGER,⭐⭐
13,7320261072496427814,1704389864,0,山东,@伊丽莎自鼠,章丘麦当劳抖金店
13,7320245984449053440,1704384009,0,湖南,@贫民窟男孩 @nikolinho @tt @蝎. @Six03,XXXToLive.
13,7326099741212377897,1705744038,0,山东,@Blue✨✨,攸花子喻🏓
13,7319149482289333026,1704122293,0,广西,@一坨桐桐,一坨惠惠
13,7320255963570160438,1704384746,0,四川,@dorothy,点点还有丿丿
13,7327900047880766246,1706163276,0,河北,@柒月,洋葱李
13,7327956605290234633,1706174942,0,广西,@淡淡的爱意,花香.
13,7328316447204098857,1706258460,0,山东,@🌈甜甜萌萌香,🌈🌈🌈Putbingqiu
13,7328209805218464539,1706239432,0,广东,@z,威治治
13,7328697243237565195,1706349601,0,浙江,@情书写给山鬼,神仙鱼
13,7328262979522020123,1706249243,0,辽宁,@落锡,Anastasia椿
13,7328305023397020479,1706257248,0,天津,@盆,许愿🌵🌕
13,7323868486576522018,1705227007,0,浙江,@🌈🌙,阿兔爱吃瓜🌈
13,7324637589318730505,1705406308,0,湖南,@ffff腊猪肉批发 @亚妮 @不想起名字 @叶落知秋 @你好呀？,jett
13,7325418523445625619,1705585198,0,安徽,@Forever°,Anthony
14,7312811918232699663,1702649397,0,浙江,@月球上的尘,🍃一路向北
14,7309701209563857690,1701922442,0,陕西,@小七安,高桥ShowHand哥（看过JJ版）
14,7320316192676250418,1704416884,0,湖北,@忍忍,1231
14,7328654384141026100,1706341490,0,上海,@二五仔-U 我有个自白版 真的好听,陈伟霆⚡
14,7324347289316655908,1705341859,0,江苏,@Zhi.,If
14,7320628247476536103,1704469669,0,广东,@一拳捶爆世界(>﹏<) 对不起我不是有意勾起你的死亡回忆，但是林这样真的有种董的感觉,米佐治
14,7320568699105329957,1704452725,1,湖北,@MB4L @晚睡早起💫 @Wd @球衣. @小狗说忘忘 @塞jo桑 @Yourfavorite 雅锐[流泪][流泪][流泪][流泪],CloudFly
14,7320412167688438554,1704421552,0,河北,林夕？他不是那啥了？,代号而已何必认真
14,7320257304967103286,1704384343,7,广西,林夕是个百年一遇的作词人。挠心方面，比方文山厉害……,猪又炖粉条~
14,7320541020557656870,1704450456,0,湖北,林俊杰是中国人吗,得意的一击
14,7320390439319782196,1704411228,2,浙江,我们一起学猫叫，一起喵喵喵！现在年轻人听的音乐真的好可悲,半符音
14,7312867932894348051,1702659762,6,中国澳门,林夕就是为林俊杰定制的,用户2292286615231
14,7320582848640254761,1704456020,0,江苏,很难想象写北京欢迎你的人为什么19年要干那种事[捂脸],zsh
14,7319557276165997351,1704217245,1,广东,鬼才 林夕[看][看][看],憂鬱的烏龜🐢
14,7321005120383894272,1704561690,0,湖南,[捂脸]  交换余生 特么我开会员都还要交一次钱 但是确实好听,风惊澜
14,7320439606633317132,1704422674,0,辽宁,林夕才是真正的天才，唯一。北京欢迎你虽然他自己不喜欢我觉得真的是佳作，太牛了,）了
14,7320576232763917119,1704457811,0,重庆,林夕都被FengSha了 [捂脸]现在是佚名,🌈大花弟弟二奢重庆工作室
14,7320612674558985023,1704467014,0,广东,林夕真的是个神人,🐷猪揼兜
14,7320647925398766345,1704471177,0,湖南,这首歌是好听，但歌词可以说是林夕写的最无趣的之一，，，，，，看看林夕的粤语歌词， 那才叫精彩,怎样才能狂吃不胖
14,7320387314487378700,1704418971,0,山东,你要明白，这可是林夕。。。,国士无双
15,7320441686588506934,1704423156,0,安徽,我看了两遍，林夕太吊了，林俊杰也太狠了,瓷砖找周旭
15,7320595472514204454,1704462548,0,河南,林俊杰这假发,Peace I
15,7324586769193157411,1705392634,0,上海,政治立场有问题的人，才华再高都是垃圾,开五档的蒙奇
15,7320619646653317951,1704464588,0,重庆,这个 视频 举报会不会下架 这个人写的,杠上杠
15,7320614280113029928,1704466937,0,广东,JJ怎么不演戏？一分钟就掉泪了，比很多小鲜肉厉害多了,哇牛
15,7325458878157505289,1705602011,0,江苏,沉默术士,DOTA2酷猫怀旧
15,7320636152641798938,1704468433,0,山东,虎哥不说车改行做录音棚了？[不失礼貌的微笑],59794036135
15,7327183851897340698,1705995480,0,湖北,我觉得歌词没曲好听 [尬笑],清雪丶
15,7327206933814264611,1706002250,0,安徽,沉默术士林俊杰 [看]  [看],🌈博斯
